partition,mol,smiles,strength,absorption,E_S1_eV,E_T1_eV,E_ST_eV,f_osc_S1
partition_0,mol0017,CC1=N/C(=N\c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c2ccccc21,0,0,2.8945,1.8092,1.0853,2.135939
partition_0,mol0028,CCCCCC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)cc3)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,0,0,3.6607,2.7515,0.9092,2.180253
partition_0,mol0050,O=c1oc2cc3c(cc2c2c1oc1cc(N4c5ccccc5Sc5ccccc54)ccc12)oc1cc(N2c4ccccc4Sc4ccccc42)ccc13,0,0,3.3439,2.5506,0.7933,1.873326
partition_0,mol0054,O=[N+]([O-])C(=CNc1ccc(/N=N/c2ccccc2)cc1)[N+](=O)[O-],0,0,1.583,1.4901,0.0929,0.072181
partition_0,mol0064,O=Cc1ccc2c(c1)C(=O)c1cc(N3CCCCC3)ccc1-2,0,1,1.9716,1.5284,0.4432,0.146227
partition_0,mol0071,CCC1(C)c2cc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)ccc2-c2ccc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)cc21,0,1,3.7732,3.2524,0.5208,5.211871
partition_0,mol0085,CC1(C)CCN2CCC(C)(C)c3cc(-c4ccc(C=C(C#N)C(=O)O)s4)cc1c32,0,1,2.8196,1.66,1.1596,2.295812
partition_0,mol0102,CCCCCn1c2c(c3cc(C#Cc4ccc5ccc6cccc7ccc4c5c67)ccc31)C(C)(CCC)c1ccccc1-2,0,1,3.5408,2.5941,0.9467,1.853305
partition_0,mol0127,CCCC1(C)c2cc(C#Cc3ccc4ccc5cccc6ccc3c4c56)ccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,0,1,3.403,2.606,0.797,4.411012
partition_0,mol0139,C1=CC2=CN(c3cccc4ccccc34)C2=C1,0,1,1.0626,0.6211,0.4415,0.040423
partition_0,mol0145,O=c1cc2ccc3cccc4ccc1c2c34,0,2,1.3725,0.6846,0.6879,0.068085
partition_0,mol0146,N#Cc1cc2cccc3c(N)ccc4ccc1c-2c43,0,2,1.5343,1.1075,0.4268,0.08748
partition_0,mol0169,CC(=O)N/N=C/c1ccc([N+](=O)[O-])cc1,0,2,3.8048,2.7509,1.0539,1.16746
partition_0,mol0186,CC1(C)c2ccccc2N(c2ccc3c4c(oc3c2)=CC(=O)C2=CC=CC=42)c2ccccc21,0,2,1.2458,0.9389,0.3069,0.032536
partition_0,mol0210,C1=CC2=CN(c3ccc(-c4nnc(-c5ccccc5)o4)cc3)C2=C1,0,2,1.065,0.612,0.453,0.049191
partition_0,mol0218,C1=CC2=Nc3ccccc3C2=C1,0,2,1.0925,0.6989,0.3936,0.001333
partition_0,mol0240,CCCCCCCCCCCCOc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(OCCCCCCCCC)cc1C#Cc1ccc([N+](=O)[O-])cc1,0,3,3.1891,2.5729,0.6162,2.38564
