mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol0017,CC1=N/C(=N\c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c2ccccc21,3.252234,381.2,1.365719765,3.81689,324.8,0.165561537,4.049884,306.1,0.027782177,2.157,3.103,1.1,3.252233,381.2,1.365684475,3.816892,324.8,0.165560862,4.049885,306.1,0.027782006,-7.3765,-0.877,6.5
mol0028,CCCCCC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)cc3)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,3.659176,338.8,2.085913426,4.400443,281.8,0.000668457,4.624121,268.1,0.168603768,2.549,3.251,1.11,3.659176,338.8,2.085913411,4.400443,281.8,0.000668457,4.624121,268.1,0.168603767,-7.2962,-1.1134,6.18
mol0050,O=c1oc2cc3c(cc2c2c1oc1cc(N4c5ccccc5Sc5ccccc54)ccc12)oc1cc(N2c4ccccc4Sc4ccccc42)ccc13,3.80826,325.6,1.592333905,4.079886,303.9,1.059418269,4.448803,278.7,0.042175789,2.624,3.198,1.18,3.80826,325.6,1.592333903,4.079886,303.9,1.059418269,4.448803,278.7,0.042175789,-7.4788,-0.4865,6.99
mol0054,O=[N+]([O-])C(=CNc1ccc(/N=N/c2ccccc2)cc1)[N+](=O)[O-],2.781382,445.8,0.118843358,3.830735,323.7,0.901621753,3.951565,313.8,0.076658702,1.879,2.818,0.9,2.7814,445.8,0.118839452,3.830754,323.7,0.901620543,3.951587,313.8,0.076655906,-8.3106,-1.0859,7.22
mol0064,O=Cc1ccc2c(c1)C(=O)c1cc(N3CCCCC3)ccc1-2,2.787412,444.8,0.148720913,3.566865,347.6,9.0331e-05,3.931974,315.3,0.61322427,2.141,3.048,0.65,2.787422,444.8,0.148720526,3.566875,347.6,9.0331e-05,3.931984,315.3,0.613225142,-7.3988,-0.9206,6.48
mol0071,CCC1(C)c2cc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)ccc2-c2ccc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)cc21,3.463693,358.0,4.434848713,3.971759,312.2,0.184224285,4.529392,273.7,0.525705931,2.556,2.752,0.91,3.463693,358.0,4.434848709,3.971759,312.2,0.184224285,4.529392,273.7,0.525705931,-7.2977,-0.5851,6.71
mol0085,CC1(C)CCN2CCC(C)(C)c3cc(-c4ccc(C=C(C#N)C(=O)O)s4)cc1c32,2.705127,458.3,1.644051866,4.297534,288.5,0.00767621,4.415996,280.8,0.04690164,1.726,2.915,0.98,2.705127,458.3,1.644051858,4.297534,288.5,0.00767621,4.415996,280.8,0.046901639,-6.9497,-1.1351,5.81
mol0102,CCCCCn1c2c(c3cc(C#Cc4ccc5ccc6cccc7ccc4c5c67)ccc31)C(C)(CCC)c1ccccc1-2,3.44805,359.6,1.713112212,3.931049,315.4,0.001244974,4.140887,299.4,0.487579748,2.256,2.935,1.19,3.44805,359.6,1.713112212,3.931049,315.4,0.001244974,4.140887,299.4,0.487579748,-7.1272,-0.5094,6.62
mol0127,CCCC1(C)c2cc(C#Cc3ccc4ccc5cccc6ccc3c4c56)ccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,3.184484,389.3,3.812665765,3.526817,351.5,0.262556986,3.929704,315.5,0.000469812,2.205,2.256,0.98,3.184484,389.3,3.812665763,3.526817,351.5,0.262556986,3.929704,315.5,0.000469812,-7.0701,-0.8579,6.21
mol0139,C1=CC2=CN(c3cccc4ccccc34)C2=C1,2.692639,460.5,0.044892954,4.080955,303.8,0.296956585,4.375872,283.3,0.233458317,1.906,2.62,0.79,2.692639,460.5,0.044892824,4.080955,303.8,0.296956594,4.375872,283.3,0.233458299,-7.5247,-0.2733,7.25
