mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol1267,CC1(C)c2ccccc2-c2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)cc21,4.055551,305.7,1.704024674,4.508751,275.0,0.418654039,4.834997,256.4,0.036905655,2.987,3.397,1.07,4.055551,305.7,1.704024134,4.508751,275.0,0.41865401,4.834997,256.4,0.036905659,-7.3601,0.1952,7.56
mol0327,CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N3CCCCC3)ccc1-2,3.888591,318.8,1.312358792,4.14466,299.1,0.000193815,4.50798,275.0,0.032184409,2.827,3.678,1.06,3.888607,318.8,1.312312204,4.144673,299.1,0.000193816,4.50799,275.0,0.03218434,-7.1514,0.0087,7.16
mol0743,CCCCCCCC1(CCCCC)c2cc(C#Cc3cccc(C#N)c3)ccc2-c2ccc(C#Cc3cccc(C#N)c3)cc21,3.679256,337.0,2.870223512,4.470632,277.3,0.077759553,4.729472,262.2,0.033927266,2.68,3.135,1.0,3.679256,337.0,2.870223497,4.470632,277.3,0.077759553,4.729472,262.2,0.033927266,-7.6817,-0.6363,7.05
mol1736,CCCCCCCC1(CCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc4c(c3)C(CCC)(CCCCC)c3ccccc3-4)cc21,3.773567,328.6,2.397459739,4.656422,266.3,0.01702158,4.803225,258.1,0.000125594,2.748,3.319,1.03,3.773567,328.6,2.397459739,4.656422,266.3,0.01702158,4.803225,258.1,0.000125594,-7.4673,-0.2403,7.23
mol0071,CCC1(C)c2cc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)ccc2-c2ccc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)cc21,3.463693,358.0,4.434848713,3.971759,312.2,0.184224285,4.529392,273.7,0.525705931,2.556,2.752,0.91,3.463693,358.0,4.434848709,3.971759,312.2,0.184224285,4.529392,273.7,0.525705931,-7.2977,-0.5851,6.71
mol1562,CCCCCCC1(CCCC)c2cc(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(C=O)cc21,3.5428,350.0,2.506556931,4.313264,287.4,0.036871532,4.381331,283.0,0.034874525,2.635,3.127,0.91,3.5428,350.0,2.506556368,4.313264,287.4,0.036871523,4.381331,283.0,0.034874524,-7.1468,-0.6001,6.55
mol0478,CCCCCC1(C)c2cc(C=Cc3ccc(C#N)cc3)ccc2-c2ccc(C=Cc3ccc(C#N)cc3)cc21,3.317168,373.8,3.271003225,3.989757,310.8,0.106556583,4.616295,268.6,0.044085727,2.282,2.544,1.04,3.317168,373.8,3.271003223,3.989757,310.8,0.106556583,4.616295,268.6,0.044085727,-7.4199,-0.8691,6.55
mol1388,CCCCCCCCOc1cc(OC)c(/C=C/c2ccc(/C=C/c3ccncc3)cc2)cc1/C=C/c1ccncc1,3.319621,373.5,2.209876178,3.799083,326.4,0.879948773,4.342903,285.5,0.564537615,2.254,2.563,1.07,3.319621,373.5,2.209876175,3.799083,326.4,0.879948773,4.342903,285.5,0.564537616,-7.1459,-0.5325,6.61
mol0127,CCCC1(C)c2cc(C#Cc3ccc4ccc5cccc6ccc3c4c56)ccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,3.184484,389.3,3.812665765,3.526817,351.5,0.262556986,3.929704,315.5,0.000469812,2.205,2.256,0.98,3.184484,389.3,3.812665763,3.526817,351.5,0.262556986,3.929704,315.5,0.000469812,-7.0701,-0.8579,6.21
mol1513,CCN(CC)c1ccc(/C=C/c2ccc3nc(/C=C/c4ccc(N(C)C)cc4)oc3c2)cc1,3.162161,392.1,2.626943563,3.874069,320.0,0.558904346,4.469586,277.4,0.082366705,2.2,2.512,0.96,3.162161,392.1,2.626943562,3.874069,320.0,0.558904346,4.469586,277.4,0.082366705,-6.6692,-0.3558,6.31
mol1432,O=[N+]([O-])c1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1,3.041761,407.6,3.733880693,3.610888,343.4,0.044840305,3.934816,315.1,7.6e-07,2.055,2.361,0.99,3.041761,407.6,3.733880693,3.610888,343.4,0.044840305,3.934817,315.1,7.6e-07,-7.3698,-1.3262,6.04
mol1450,CCC[B-]1(OC(C)=O)OC(/C=C/c2ccc3cc(OC)ccc3c2)=CC(/C=C/c2ccc3cc(OC)ccc3c2)=[O+]1,2.98309,415.6,2.689744716,3.826216,324.0,0.269684033,4.176947,296.8,0.001595336,2.097,2.525,0.89,2.98309,415.6,2.689734249,3.826216,324.0,0.269684035,4.176947,296.8,0.001595336,-7.6377,-1.3618,6.28
mol1575,CCCCOc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,2.939995,421.7,2.483505343,3.93299,315.2,0.053852559,4.444249,279.0,0.00205691,2.042,2.573,0.9,2.939995,421.7,2.48350528,3.93299,315.2,0.053852533,4.444251,279.0,0.002056908,-7.7752,-1.4224,6.35
mol1467,COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c(OC)c3)=[O+][B-](F)(F)O2)cc1OC,2.947092,420.7,2.385349494,3.834842,323.3,0.234915326,4.416462,280.7,0.05240815,2.046,2.486,0.9,2.947092,420.7,2.385349485,3.834842,323.3,0.234915309,4.416462,280.7,0.05240815,-7.6591,-1.4017,6.26
mol1437,CCCCCOc1ccc(-c2cnc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)s2)cc1,2.724284,455.1,2.165731037,3.729712,332.4,0.036788679,4.4859,276.4,0.072750204,1.729,2.389,1.0,2.724284,455.1,2.165731036,3.729712,332.4,0.036788678,4.4859,276.4,0.072750165,-7.3922,-1.5504,5.84
mol1054,CSc1ccc(C#Cc2cc(C#N)c3ccc4c(C#Cc5ccc(SC)cc5)cc(C#Cc5ccc(SC)cc5)c5ccc2c3c45)cc1,2.74036,452.4,1.932728556,3.544882,349.8,0.459638475,3.758069,329.9,1.601572853,1.763,2.814,0.98,2.74036,452.4,1.932728554,3.544882,349.8,0.459638475,3.758069,329.9,1.601572853,-7.0996,-1.5187,5.58
mol1002,CC1=Cc2cc3ccccc3cc2N2CCCC(C=Cc3ccc4cc5ccccc5cc4c3)=C12,2.688826,461.1,2.301483454,3.474795,356.8,0.1109,3.797663,326.5,0.211463145,1.589,2.203,1.1,2.688826,461.1,2.30147318,3.474795,356.8,0.110899993,3.797664,326.5,0.21146314,-6.3256,-0.5526,5.77
mol1416,CCCCCCCN(C)c1ccc(/C=C(\C#N)c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)s2)cc1,2.592537,478.2,2.250147212,3.400403,364.6,0.00010808,3.649478,339.7,0.100052035,1.65,2.295,0.94,2.592537,478.2,2.250147224,3.400999,364.6,0.000107901,3.649478,339.7,0.100052047,-7.128,-1.4537,5.67
mol1531,CCCCCCCN(CCCCC)c1ccc(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)c3nsnc23)cc1,2.543362,487.5,1.641485146,3.419508,362.6,0.299752167,3.952314,313.7,0.047970396,1.653,2.265,0.89,2.543362,487.5,1.64148495,3.419508,362.6,0.299752135,3.952314,313.7,0.047970291,-7.0513,-1.5939,5.46
mol1448,F[B-]1(F)n2c(cc3c4ccccc4c4ccccc4c32)C(c2ccccc2)=C2C=CC(c3ccccc3)=[N+]21,2.552765,485.7,1.119900185,3.482798,356.0,0.121438022,3.944444,314.3,0.719435887,1.534,2.771,1.02,2.552765,485.7,1.11990011,3.482798,356.0,0.121438006,3.944444,314.3,0.719435883,-7.5318,-1.6877,5.84
mol1609,C1=NC(c2ccc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)s3)s2)=N1,2.45078,505.9,0.915203315,3.059546,405.2,0.882391261,3.210992,386.1,0.001183148,1.559,2.088,0.89,2.45078,505.9,0.915203315,3.059546,405.2,0.882391256,3.210993,386.1,0.001183148,-7.3616,-1.6335,5.73
mol0496,CC1=c2c(cc3cccc4ccc(N5CCCC5)c2c43)C=C1,2.442324,507.6,0.226324495,3.448566,359.5,0.173849093,3.805725,325.8,0.354462788,1.485,2.369,0.96,2.442324,507.6,0.226324477,3.448566,359.5,0.173849094,3.805725,325.8,0.354462784,-6.753,-0.7405,6.01
