mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol1347,O=C1CCN1c1ccc(-c2nn(-c3ccccc3)c(=O)o2)cc1,4.43566,279.5,1.466865945,4.99021,248.5,0.01160856,5.332268,232.5,0.019103934,3.126,4.008,1.31,4.43566,279.5,1.46686501,4.99021,248.5,0.01160856,5.332268,232.5,0.019103936,-8.0813,0.0749,8.16
mol1727,COC(=O)c1nc(-c2ccccc2)oc1-c1ccccc1,4.390014,282.4,0.88336383,5.037033,246.1,0.554432741,5.146756,240.9,0.042933587,3.075,3.59,1.32,4.390015,282.4,0.883362616,5.037033,246.1,0.554433036,5.146756,240.9,0.042933233,-8.2999,-0.0571,8.24
mol0386,Nc1nc(Nc2cccc3ccccc23)nc(Nc2cccc3ccccc23)n1,4.371725,283.6,0.810370651,4.484851,276.5,0.205732023,4.602676,269.4,0.014125933,2.972,2.978,1.4,4.371725,283.6,0.810370649,4.484851,276.5,0.205732021,4.602676,269.4,0.014125933,-7.8365,0.3408,8.18
mol1267,CC1(C)c2ccccc2-c2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)cc21,4.074525,304.3,1.690527413,4.519934,274.3,0.403982575,4.840268,256.2,0.035605173,2.992,3.399,1.08,4.074525,304.3,1.69052704,4.519934,274.3,0.403982548,4.840268,256.2,0.035605176,-7.3759,0.1852,7.56
mol0756,CCN(C)c1ccc2c(=O)c3ccc(N(CC)CC)cc3oc2c1,4.091692,303.0,1.219263092,4.438009,279.4,0.000118369,4.577797,270.8,0.034630441,3.199,3.355,0.89,4.091692,303.0,1.219262941,4.438017,279.4,0.000118371,4.577797,270.8,0.034630428,-7.4642,0.2185,7.68
mol1568,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,4.033092,307.4,1.218099954,5.013521,247.3,0.008569023,5.066312,244.7,0.002729204,2.7,3.705,1.33,4.033092,307.4,1.218099953,5.013521,247.3,0.008569023,5.066312,244.7,0.002729204,-7.5111,0.219,7.73
mol0169,CC(=O)N/N=C/c1ccc([N+](=O)[O-])cc1,3.967454,312.5,7.9868e-05,4.127037,300.4,1.188765179,4.64755,266.8,0.037579397,2.709,3.362,1.26,3.967537,312.5,7.9927e-05,4.127052,300.4,1.188753932,4.647563,266.8,0.037579364,-8.6674,-1.1227,7.54
mol0327,CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N3CCCCC3)ccc1-2,3.892854,318.5,1.29281586,4.165282,297.7,0.000195558,4.509238,275.0,0.030038386,2.819,3.701,1.07,3.892871,318.5,1.29276348,4.165294,297.7,0.000195559,4.509249,275.0,0.030038326,-7.1525,-0.0185,7.13
mol1311,C1=N/C(=C/c2ccccc2)CN1c1ccccc1,3.879269,319.6,1.213998628,4.972909,249.3,0.021372853,5.046545,245.7,0.001167032,2.589,3.717,1.29,3.879269,319.6,1.213998628,4.972909,249.3,0.021372853,5.046545,245.7,0.001167032,-7.3205,0.3411,7.66
mol1705,COc1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2OC)cc1,3.918768,316.4,0.998972169,4.426997,280.1,0.005660191,4.486255,276.4,0.076299841,2.919,3.414,1.0,3.918768,316.4,0.998971607,4.426998,280.1,0.005660201,4.486255,276.4,0.076299833,-7.9516,-0.3507,7.6
