partition,mol,smiles,strength,absorption,E_S1_eV,E_T1_eV,E_ST_eV,f_osc_S1
partition_0,mol0001,CC1(C)c2ccccc2N(c2ccc(/C=C(/C#N)C(=O)O)cc2)c2ccccc21,0,0,3.118300,2.033600,1.084700,1.762547
partition_0,mol0002,CCCCCCC1(CCCCCC)c2cc(-c3cc4c5c(c3)C(C)(C)CCN5CCC4(C)C)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0,3.066000,2.692500,0.373500,0.019774
partition_0,mol0003,CC1(C)c2ccccc2N(c2cccc(C3CCCC3)c2)c2ccc(N(c3ccccc3)c3ccccc3)cc21,0,0,3.742000,3.228100,0.513900,0.033116
partition_0,mol0004,c1ccc(N(c2ccccc2)c2ccc3c(c2)Oc2ccccc2N3c2cccc(C3CCCC3)c2)cc1,0,0,3.024300,2.648900,0.375400,0.115084
partition_0,mol0005,Cc1cc(-c2ccccc2)c2ccccc2c1,0,0,4.184300,3.344000,0.840300,0.005298
partition_0,mol0006,CCCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0,3.224800,2.829000,0.395800,0.010807
partition_0,mol0007,CCCC1(C)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,0,0,3.992600,3.442900,0.549700,0.072529
partition_0,mol0008,Cc1cc(C)cc(N2c3ccccc3N(c3nc(-c4ccccc4)nc(N4c5ccccc5N(c5ccccc5)c5ccccc54)n3)c3ccccc32)c1,0,0,3.523500,3.120700,0.402800,0.494864
partition_0,mol0009,CCCCCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0,3.219500,2.824000,0.395500,0.024477
partition_0,mol0010,CC1(C)c2ccccc2N(c2ccc(C3CCCC3)nn2)c2ccc(N(c3ccccc3)c3ccccc3)cc21,0,0,3.501300,3.162100,0.339200,0.009637
partition_0,mol0011,Cl,0,0,7.530300,7.530300,0.000000,0.001200
partition_0,mol0012,N#CC1=CC(=O)[CH]C1,0,0,1.494100,1.494100,0.000000,0.000113
partition_0,mol0013,c1ccc2c(c1)Sc1cc(-n3c4ccccc4c4ccccc43)ccc1N2c1ccc(C2CCCC2)cc1,0,0,3.210500,2.825200,0.385300,0.213585
