mol,smiles,td_dft_E_S1_eV,td_dft_wl_S1_nm,td_dft_osc_S1,precond_strength_token,precond_absorption_token,precond_token,td_dft_strength_token,td_dft_absorption_token
mol0001,CC1(C)c2ccccc2N(c2ccc(/C=C(/C#N)C(=O)O)cc2)c2ccccc21,3.484232,355.8,1.555150411,0,0,str_0_abs_0,4,3
mol0004,c1ccc(N(c2ccccc2)c2ccc3c(c2)Oc2ccccc2N3c2cccc(C3CCCC3)c2)cc1,3.921178,316.2,0.221071323,0,0,str_0_abs_0,3,4
mol0005,Cc1cc(-c2ccccc2)c2ccccc2c1,4.59787,269.7,0.076767617,0,0,str_0_abs_0,3,4
mol0006,CCCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,4.1489,298.8,0.047076068,0,0,str_0_abs_0,3,4
mol0007,CCCC1(C)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,4.536639,273.3,0.007778789,0,0,str_0_abs_0,2,4
mol0009,CCCCCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,4.157325,298.2,0.036667942,0,0,str_0_abs_0,3,4
mol0013,c1ccc2c(c1)Sc1cc(-n3c4ccccc4c4ccccc43)ccc1N2c1ccc(C2CCCC2)cc1,3.998377,310.1,0.043076971,0,0,str_0_abs_0,3,4
mol0017,CC1=N/C(=N\c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c2ccccc21,3.252233,381.2,1.36568447,0,0,str_0_abs_0,4,2
mol0032,Cc1cc(N2c3ccccc3Oc3ccccc32)cc(C)c1C#N,3.870967,320.3,0.071544691,0,0,str_0_abs_0,3,4
mol0034,CC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,4.087772,303.3,0.006250966,0,0,str_0_abs_0,2,4
mol0035,N#Cc1cccc(N2c3ccccc3Oc3ccccc32)c1,3.94368,314.4,3.2924e-05,0,0,str_0_abs_0,0,4
mol0041,N#Cc1cc(C#N)c(C#N)cc1C#N,4.650739,266.6,0.151799608,0,0,str_0_abs_0,3,4
mol0042,N#CC1=CCC=C1,5.164673,240.1,0.108388758,0,0,str_0_abs_0,3,4
mol0047,CC1=Cc2c(N3c4ccccc4Sc4ccccc43)ccc3cccc1c23,3.418653,362.7,0.030365935,0,0,str_0_abs_0,2,3
mol0050,O=c1oc2cc3c(cc2c2c1oc1cc(N4c5ccccc5Sc5ccccc54)ccc12)oc1cc(N2c4ccccc4Sc4ccccc42)ccc13,3.807906,325.6,1.593101148,0,0,str_0_abs_0,4,4
mol0054,O=[N+]([O-])C(=CNc1ccc(/N=N/c2ccccc2)cc1)[N+](=O)[O-],2.7814,445.8,0.118839452,0,0,str_0_abs_0,3,1
mol0056,c1cc(C2CCCC2)cc(N2c3ccccc3Oc3cc(N4c5ccccc5Oc5ccccc54)ccc32)c1,4.068101,304.8,0.095431076,0,0,str_0_abs_0,3,4
mol0060,Cc1cc(-c2c(C)cc(C)c(N3c4ccccc4N(c4ccccc4)c4ccccc43)c2C)c2ccccc2c1,3.556095,348.7,0.00155159,0,0,str_0_abs_0,1,3
mol0066,FC(F)(F)c1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(C3CCCC3)c2)cc1,4.963125,249.8,0.043662743,0,1,str_0_abs_1,3,4
